participant_id	WJ-III_WordID_Raw	WJ-III_WordID_StS	WJ-III_WA_Raw	WJ-III_WA_StS	WJ-III_PassComp_Raw	WJ-III_PassComp_StS	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS	WJ-III_SpatialRelations_Raw	WJ-III_SpatialRelations_Letter	WJ-III_SpatialRelations_StS	WJ-III_BRS_StS
sub-080	44	95	20	102	23	91	45	94	56	D	98	98
sub-081	44	85	11	86	31	97	38	71	72	D	111	85
sub-082	45	86	20	96	30	95	69	95	62	D	94	91
sub-083	51	96	15	91	28	92	50	82	67	D	102	93
sub-084	42	87	38	76	26	91	16	94	63	D	98	90
sub-085	53	103	25	107	30	99	42	82	61	D	96	105
sub-086	60	100	17	89	31	92	52	75	67	D	99	95
sub-087	60	102	25	100	35	105	55	77	62	D	92	102
sub-088	49	98	17	96	30	100	35	80	40	C	82	97
sub-089	59	114	26	109	28	96	37	80	67	D	105	112
sub-090	30	116	71	106	77	94	34	100	61	n/a	103	111
sub-091	56	94	19	91	28	84	106	108	56	D	84	92
sub-092	57	106	24	103	32	102	23	63	56	D	88	105
sub-093	64	123	24	105	34	113	49	92	73	D	117	116
sub-094	62	104	23	97	36	107	71	88	60	D	32	100
sub-095	60	110	24	102	31	97	42	76	69	D	105	106
sub-096	53	98	19	95	27	90	43	79	71	D	110	97
sub-097	46	91	16	93	27	92	79	110	61	D	95	91
sub-098	44	94	12	92	26	95	35	83	40	D	84	93
sub-099	40	85	19	97	24	88	65	104	57	D	91	90
sub-100	54	105	22	102	28	96	53	95	64	D	100	103
sub-101	62	110	25	102	34	103	84	101	70	D	105	107
sub-102	45	90	15	92	30	98	45	84	71	D	111	91
sub-103	54	106	21	101	25	92	41	86	57	D	91	104
sub-104	54	95	23	98	28	89	59	85	57	D	87	97
sub-105	45	90	12	89	26	90	21	63	55	D	88	89
sub-106	55	95	18	92	32	96	47	74	74	D	113	93
sub-107	41	83	18	95	26	89	35	74	65	D	100	88
sub-108	47	93	15	92	23	86	60	98	63	D	98	92
sub-109	65	114	25	100	30	91	54	78	59	D	88	108
sub-110	51	97	15	92	31	99	44	82	52	D	84	94
sub-111	45	95	18	98	25	93	33	82	54	D	89	96
sub-112	54	98	21	97	32	100	96	116	58	D	89	98
sub-113	52	96	26	106	29	94	54	87	54	D	84	98
sub-114	52	94	18	93	26	85	82	103	52	D	81	93
sub-115	64	108	26	101	31	92	70	87	71	D	105	106
sub-116	46	87	19	95	28	91	42	75	62	D	94	91
sub-117	63	106	26	101	34	99	97	105	64	D	94	104
sub-118	61	100	28	107	35	102	101	106	63	D	92	104
sub-119	59	106	19	94	34	105	68	95	67	D	101	99
sub-120	60	104	21	95	29	90	73	94	78	D	126	99
sub-121	60	113	26	108	32	102	40	79	59	D	92	111
sub-122	57	116	28	117	29	103	58	108	55	D	92	117
sub-123	61	106	28	109	36	109	89	99	76	D	118	108
sub-124	52	104	15	94	27	96	73	114	60	D	96	99
sub-125	48	98	13	92	28	97	36	84	63	D	100	95
sub-126	57	106	23	101	29	95	117	130	66	D	101	104
sub-127	66	113	26	101	38	113	99	102	66	D	97	108
sub-128	56	119	25	114	28	105	38	98	66	D	109	118
sub-129	61	99	27	103	32	93	127	119	55	D	82	101
sub-130	53	96	23	99	31	97	44	76	67	D	101	98
sub-131	61	114	23	101	31	99	50	86	61	D	94	108
sub-132	55	96	28	110	36	110	72	94	75	D	116	102
