onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.013000000000005	Etrue	1.0	1.439	5 - 2 =	3
4.013000000000005	4.413999999999994	EFalse	1.0	3.037	8 - 5 =	2
8.427	3.0090000000000003	control	1.0	0.943	n/a	/BLUEbox.bmp
11.436	4.0120000000000005	HTrue	0.0	1.393	9 - 7 =	2
15.448	4.013000000000005	Etrue	1.0	1.412	8 - 5 =	3
19.461000000000006	3.0090000000000003	control	1.0	0.673	n/a	/BLUEbox.bmp
22.470000000000006	4.012999999999991	Etrue	0.0	1.626	5 - 2 =	3
26.482999999999997	4.0120000000000005	Hfalse	err	err	8 - 2 =	7
30.494999999999997	4.013000000000005	EFalse	1.0	1.868	5 - 2 =	2
34.508	3.0090000000000003	control	1.0	0.7	n/a	/BLUEbox.bmp
37.517	4.814999999999998	EFalse	1.0	1.194	8 - 7 =	3
42.332	3.010000000000005	control	1.0	0.628	n/a	/BLUEbox.bmp
45.342000000000006	4.814999999999998	HTrue	0.0	2.068	7 - 2 =	5
50.157000000000004	4.814999999999998	Hfalse	1.0	1.723	7 - 2 =	6
54.972	4.814999999999998	HTrue	1.0	2.37	8 - 2 =	6
59.787	4.213000000000001	HTrue	1.0	1.962	9 - 2 =	7
64.0	3.4099999999999966	control	1.0	0.754	n/a	/BLUEbox.bmp
67.41	4.013000000000005	Etrue	1.0	1.139	6 - 5 =	1
71.423	4.413999999999987	Etrue	1.0	1.221	6 - 4 =	2
75.83699999999999	3.812000000000012	control	1.0	0.686	n/a	/BLUEbox.bmp
79.649	4.0120000000000005	EFalse	0.0	2.419	5 - 3 =	1
83.661	4.013000000000005	HTrue	0.0	1.991	7 - 4 =	3
87.674	3.4099999999999966	control	1.0	0.642	n/a	/BLUEbox.bmp
91.084	4.212999999999994	HTrue	1.0	2.356	7 - 4 =	3
95.297	4.413999999999987	Etrue	1.0	1.492	6 - 5 =	1
99.71099999999998	3.812000000000012	control	1.0	0.698	n/a	/BLUEbox.bmp
103.523	4.814999999999998	Etrue	1.0	1.51	3 - 2 =	1
108.338	4.0120000000000005	Hfalse	1.0	2.184	8 - 6 =	4
112.35	4.413999999999987	Hfalse	1.0	2.379	9 - 4 =	4
116.76399999999998	4.815000000000026	Etrue	1.0	1.179	8 - 7 =	1
121.57900000000001	4.814999999999998	HTrue	1.0	1.261	8 - 6 =	2
126.394	4.413999999999987	Etrue	1.0	2.319	5 - 3 =	2
130.808	4.414000000000016	Etrue	1.0	2.058	5 - 4 =	1
135.222	4.814999999999998	Etrue	1.0	1.902	4 - 3 =	1
140.037	4.413999999999987	HTrue	1.0	1.884	9 - 2 =	7
144.451	4.413000000000011	Hfalse	1.0	1.587	9 - 7 =	4
148.864	4.814999999999998	Etrue	1.0	1.538	8 - 7 =	1
153.679	3.8119999999999834	control	1.0	0.718	n/a	/BLUEbox.bmp
157.49099999999999	3.4110000000000014	control	1.0	0.644	n/a	/BLUEbox.bmp
160.902	3.812000000000012	control	1.0	0.643	n/a	/BLUEbox.bmp
164.714	4.413999999999987	HTrue	1.0	1.485	9 - 4 =	5
169.128	4.413000000000011	HTrue	1.0	1.354	6 - 2 =	4
173.541	4.814999999999998	EFalse	0.0	2.0	4 - 3 =	2
178.356	4.814999999999998	Hfalse	1.0	1.43	7 - 3 =	3
183.171	3.4110000000000014	control	1.0	0.406	n/a	/BLUEbox.bmp
186.582	4.814999999999998	EFalse	err	err	3 - 2 =	2
191.397	4.414000000000016	HTrue	1.0	1.733	9 - 6 =	3
195.811	4.804999999999978	HTrue	1.0	1.759	7 - 2 =	5
200.61599999999999	22.011000000000024	n/a	n/a	n/a	n/a	/REDbox.bmp
