onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.008000000000003	Etrue	1.0	0.595	2 x 3 =	6
4.008000000000003	4.008999999999993	Etrue	1.0	1.533	4 x 3 =	12
8.016999999999996	4.008000000000003	Etrue	1.0	0.846	3 x 4 =	12
12.024999999999999	4.008000000000003	Htrue	0.0	1.307	6 x 7 =	42
16.033	3.0060000000000002	control	1.0	0.602	n/a	/BLUEbox.bmp
19.039	4.809999999999995	Hfalse	0.0	1.246	8 x 9 =	63
23.848999999999997	4.008000000000003	Htrue	1.0	1.24	9 x 8 =	72
27.857	4.009	Htrue	1.0	1.55	6 x 9 =	54
31.866	3.206000000000003	control	1.0	0.671	n/a	/BLUEbox.bmp
35.072	4.009	Etrue	1.0	0.702	3 x 5 =	15
39.081	4.007999999999996	Efalse	0.0	0.894	3 x 2 =	8
43.089	3.808000000000007	control	1.0	0.529	n/a	/BLUEbox.bmp
46.897000000000006	4.809999999999988	Htrue	1.0	1.76	8 x 6 =	48
51.706999999999994	4.810000000000002	Htrue	1.0	0.674	8 x 9 =	72
56.516999999999996	4.810000000000002	Efalse	1.0	1.122	3 x 4 =	8
61.327	3.0060000000000002	control	1.0	0.646	n/a	/BLUEbox.bmp
64.333	3.808000000000007	control	1.0	0.856	n/a	/BLUEbox.bmp
68.141	4.007999999999996	Htrue	1.0	1.211	6 x 7 =	42
72.149	4.007999999999996	Efalse	1.0	2.26	5 x 4 =	16
76.157	3.0060000000000002	control	1.0	0.673	n/a	/BLUEbox.bmp
79.163	3.808000000000007	Htrue	1.0	0.752	7 x 8 =	56
82.971	4.408999999999992	Etrue	1.0	0.922	5 x 3 =	15
87.38	4.810000000000002	Etrue	1.0	0.983	2 x 3 =	6
92.19	4.409000000000006	Etrue	1.0	0.901	5 x 3 =	15
96.599	4.008999999999986	Hfalse	err	err	9 x 6 =	48
100.60799999999999	4.40900000000002	Etrue	1.0	0.786	2 x 5 =	10
105.01700000000001	3.4069999999999823	control	1.0	0.629	n/a	/BLUEbox.bmp
108.42399999999999	4.40900000000002	Etrue	1.0	1.625	4 x 5 =	20
112.83300000000001	3.4069999999999823	control	1.0	0.809	n/a	/BLUEbox.bmp
116.24	3.4070000000000107	control	1.0	0.854	n/a	/BLUEbox.bmp
119.647	4.408999999999992	Efalse	1.0	0.826	3 x 5 =	10
124.056	4.408999999999978	Hfalse	0.0	2.79	9 x 8 =	64
128.46499999999997	3.407000000000039	control	1.0	0.901	n/a	/BLUEbox.bmp
131.872	4.408999999999992	Htrue	1.0	2.188	7 x 9 =	63
136.281	4.810000000000002	Htrue	1.0	2.977	7 x 8 =	56
141.091	4.610000000000014	Hfalse	0.0	2.115	6 x 9 =	45
145.70100000000002	4.408999999999992	Htrue	1.0	0.845	6 x 8 =	48
150.11	4.408999999999992	Hfalse	0.0	1.211	8 x 7 =	63
154.519	3.8079999999999927	control	1.0	0.76	n/a	/BLUEbox.bmp
158.327	4.810000000000002	Etrue	1.0	1.155	2 x 4 =	8
163.137	4.810000000000002	Etrue	1.0	1.058	4 x 3 =	12
167.947	4.810000000000002	Hfalse	0.0	1.739	9 x 7 =	56
172.757	4.810000000000002	Efalse	1.0	0.78	5 x 3 =	12
177.567	4.408999999999992	Efalse	1.0	1.009	5 x 2 =	12
181.976	4.810000000000002	Etrue	1.0	0.871	4 x 2 =	8
186.786	3.8070000000000164	control	1.0	0.677	n/a	/BLUEbox.bmp
190.59300000000002	4.409999999999968	Htrue	1.0	1.074	8 x 7 =	56
195.003	4.40300000000002	Htrue	1.0	2.048	6 x 8 =	48
199.406	22.004999999999995	n/a	n/a	n/a	n/a	/REDbox.bmp
