participant_id	CMAT_Addition_Raw	CMAT_Addition_StS	CMAT_Subtraction_Raw	CMAT_Subtraction_StS	CMAT_Multiplication_Raw	CMAT_Multiplication_StS	CMAT_Division_Raw	CMAT_Division_StS	CMAT_BasicCalc_Comp_Quotient
sub-001	24	17	22	19	16	14	22	20	150
sub-002	22	13	18	13	14	11	7	7	107
sub-003	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-005	21	10	19	9	24	15	21	15	115
sub-006	15	7	18	14	12	10	12	12	105
sub-007	24	14	21	15	24	18	23	20	145
sub-008	23	12	20	10	17	9	14	8	98
sub-009	25	18	20	17	13	12	11	12	132
sub-010	23	13	19	13	17	12	22	20	130
sub-011	23	14	18	13	17	13	17	16	127
sub-012	24	13	23	13	20	12	21	14	120
sub-013	23	12	19	9	21	12	23	15	113
sub-014	24	13	19	9	5	3	17	11	93
sub-015	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-016	23	12	18	8	22	13	15	8	102
sub-017	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-018	21	10	18	9	14	8	6	5	87
sub-019	25	14	23	14	24	16	23	18	137
sub-020	16	6	12	6	11	7	10	8	78
sub-021	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-022	19	8	21	11	18	10	17	10	98
sub-023	23	12	22	13	19	12	21	16	122
sub-024	21	11	18	12	13	9	11	9	102
sub-025	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-026	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-027	23	13	21	15	17	12	18	16	127
sub-028	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-029	20	10	15	9	15	11	8	7	95
sub-030	23	12	21	12	18	11	12	8	105
sub-031	23	12	23	14	22	14	22	17	128
sub-032	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-033	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-034	23	13	21	15	22	16	20	18	137
sub-035	18	8	15	8	16	10	10	8	90
sub-036	19	9	18	12	13	9	13	11	102
sub-037	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-038	23	12	20	10	17	9	22	14	108
sub-039	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-040	23	12	19	9	12	6	13	7	90
sub-041	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-042	20	10	12	6	16	11	4	5	87
sub-043	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-044	11	4	20	10	17	10	13	8	87
sub-045	25	16	16	11	13	10	12	11	113
sub-046	15	6	16	8	12	7	4	3	73
sub-047	22	12	20	13	15	10	19	16	118
sub-048	24	14	20	13	14	9	22	19	125
sub-049	24	14	22	14	21	14	23	19	135
sub-050	24	15	23	18	25	19	22	20	153
sub-051	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-052	17	7	9	3	12	7	6	4	68
sub-053	20	9	12	5	12	7	9	6	78
sub-054	21	10	18	8	20	11	11	6	92
sub-055	20	10	16	8	11	7	12	9	90
sub-056	16	7	17	11	9	7	4	5	83
sub-057	23	14	19	14	15	11	21	20	132
sub-058	24	14	19	13	18	13	17	15	125
sub-059	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-060	23	13	21	14	15	10	19	16	122
sub-061	23	13	21	13	22	15	19	15	127
sub-062	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-063	17	7	13	7	8	6	10	8	80
sub-064	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-065	20	10	16	9	12	8	5	5	87
sub-066	14	6	10	6	11	9	6	7	80
sub-067	18	8	15	6	8	4	3	1	65
sub-068	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-069	15	6	10	4	3	1	5	1	53
sub-070	16	6	13	5	3	2	6	3	60
sub-071	9	4	12	9	6	6	1	3	70
sub-072	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-073	18	9	19	13	8	6	3	4	87
sub-074	21	10	9	3	3	2	4	1	60
sub-075	15	6	15	6	9	5	8	4	68
sub-076	15	6	17	9	17	11	6	6	87
sub-077	15	6	13	7	10	8	4	5	77
sub-078	12	4	9	4	9	5	6	5	63
sub-079	19	8	17	8	10	6	8	5	78
sub-080	21	13	17	13	14	12	17	17	125
sub-081	10	4	10	5	7	5	4	4	63
sub-082	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-083	17	7	11	5	3	3	5	5	67
sub-084	7	2	9	5	6	5	2	4	60
