participant_id	KeyMath_Numeration_Raw	KeyMath_Numeration_ScS	KeyMath_Measurement_Raw	KeyMath_Measurement_ScS	KeyMath_ProblemSolving_Raw	KeyMath_ProblemSolving_ScS
sub-001	46	18	n/a	n/a	n/a	n/a
sub-002	35	13	n/a	n/a	n/a	n/a
sub-003	n/a	n/a	n/a	n/a	n/a	n/a
sub-004	n/a	n/a	n/a	n/a	n/a	n/a
sub-005	47	15	n/a	n/a	n/a	n/a
sub-006	37	14	n/a	n/a	n/a	n/a
sub-007	48	18	n/a	n/a	n/a	n/a
sub-008	48	15	n/a	n/a	n/a	n/a
sub-009	41	16	n/a	n/a	n/a	n/a
sub-010	48	17	n/a	n/a	n/a	n/a
sub-011	43	15	n/a	n/a	n/a	n/a
sub-012	45	13	n/a	n/a	n/a	n/a
sub-013	49	19	n/a	n/a	n/a	n/a
sub-014	48	16	n/a	n/a	n/a	n/a
sub-015	n/a	n/a	n/a	n/a	n/a	n/a
sub-016	40	10	n/a	n/a	n/a	n/a
sub-017	n/a	n/a	n/a	n/a	n/a	n/a
sub-018	40	11	n/a	n/a	n/a	n/a
sub-019	47	16	n/a	n/a	n/a	n/a
sub-020	29	8	n/a	n/a	n/a	n/a
sub-021	n/a	n/a	n/a	n/a	n/a	n/a
sub-022	41	11	n/a	n/a	n/a	n/a
sub-023	46	15	n/a	n/a	n/a	n/a
sub-024	42	14	n/a	n/a	n/a	n/a
sub-025	n/a	n/a	n/a	n/a	n/a	n/a
sub-026	n/a	n/a	n/a	n/a	n/a	n/a
sub-027	43	14	n/a	n/a	n/a	n/a
sub-028	n/a	n/a	n/a	n/a	n/a	n/a
sub-029	20	6	n/a	n/a	n/a	n/a
sub-030	42	12	n/a	n/a	n/a	n/a
sub-031	42	12	n/a	n/a	n/a	n/a
sub-032	n/a	n/a	n/a	n/a	n/a	n/a
sub-033	n/a	n/a	n/a	n/a	n/a	n/a
sub-034	45	15	n/a	n/a	n/a	n/a
sub-035	34	10	n/a	n/a	n/a	n/a
sub-036	39	13	n/a	n/a	n/a	n/a
sub-037	n/a	n/a	n/a	n/a	n/a	n/a
sub-038	49	19	n/a	n/a	n/a	n/a
sub-039	n/a	n/a	n/a	n/a	n/a	n/a
sub-040	37	9	n/a	n/a	n/a	n/a
sub-041	n/a	n/a	n/a	n/a	n/a	n/a
sub-042	26	8	n/a	n/a	n/a	n/a
sub-043	n/a	n/a	n/a	n/a	n/a	n/a
sub-044	43	12	n/a	n/a	n/a	n/a
sub-045	45	16	n/a	n/a	n/a	n/a
sub-046	21	6	n/a	n/a	n/a	n/a
sub-047	45	15	n/a	n/a	n/a	n/a
sub-048	46	16	n/a	n/a	n/a	n/a
sub-049	49	19	n/a	n/a	n/a	n/a
sub-050	41	15	n/a	n/a	n/a	n/a
sub-051	n/a	n/a	n/a	n/a	n/a	n/a
sub-052	17	4	n/a	n/a	n/a	n/a
sub-053	37	10	n/a	n/a	n/a	n/a
sub-054	44	11	n/a	n/a	n/a	n/a
sub-055	16	4	n/a	n/a	n/a	n/a
sub-056	23	7	n/a	n/a	n/a	n/a
sub-057	28	10	n/a	n/a	n/a	n/a
sub-058	32	10	n/a	n/a	n/a	n/a
sub-059	37	10	n/a	n/a	n/a	n/a
sub-060	44	14	n/a	n/a	n/a	n/a
sub-061	41	n/a	n/a	n/a	n/a	n/a
sub-062	n/a	n/a	n/a	n/a	n/a	n/a
sub-063	26	n/a	n/a	n/a	n/a	n/a
sub-064	n/a	n/a	n/a	n/a	n/a	n/a
sub-065	38	12	n/a	n/a	n/a	n/a
sub-066	24	9	n/a	n/a	n/a	n/a
sub-067	31	8	n/a	n/a	n/a	n/a
sub-068	n/a	n/a	n/a	n/a	n/a	n/a
sub-069	31	8	n/a	n/a	n/a	n/a
sub-070	17	4	n/a	n/a	n/a	n/a
sub-071	29	11	n/a	n/a	n/a	n/a
sub-072	n/a	n/a	n/a	n/a	n/a	n/a
sub-073	27	8	n/a	n/a	n/a	n/a
sub-074	28	7	n/a	n/a	n/a	n/a
sub-075	33	8	n/a	n/a	n/a	n/a
sub-076	17	5	n/a	n/a	n/a	n/a
sub-077	19	6	n/a	n/a	n/a	n/a
sub-078	20	5	n/a	n/a	n/a	n/a
sub-079	37	9	n/a	n/a	n/a	n/a
sub-080	23	8	n/a	n/a	n/a	n/a
sub-081	26	8	n/a	n/a	n/a	n/a
sub-082	n/a	n/a	n/a	n/a	n/a	n/a
sub-083	17	5	n/a	n/a	n/a	n/a
sub-084	27	8	n/a	n/a	n/a	n/a
sub-085	n/a	n/a	n/a	n/a	n/a	n/a
sub-086	29	8	n/a	n/a	n/a	n/a
sub-087	n/a	n/a	n/a	n/a	n/a	n/a
sub-088	18	6	n/a	n/a	n/a	n/a
sub-089	32	10	n/a	n/a	n/a	n/a
sub-090	36	9	n/a	n/a	n/a	n/a
sub-091	27	7	n/a	n/a	n/a	n/a
sub-092	34	11	n/a	n/a	n/a	n/a
sub-093	39	13	n/a	n/a	n/a	n/a
sub-094	16	4	n/a	n/a	n/a	n/a
sub-095	31	9	n/a	n/a	n/a	n/a
sub-096	20	6	n/a	n/a	n/a	n/a
sub-097	27	8	n/a	n/a	n/a	n/a
sub-098	14	5	n/a	n/a	n/a	n/a
sub-099	26	8	n/a	n/a	n/a	n/a
sub-100	n/a	n/a	n/a	n/a	n/a	n/a
sub-101	n/a	n/a	n/a	n/a	n/a	n/a
sub-102	n/a	n/a	n/a	n/a	n/a	n/a
sub-103	18	6	n/a	n/a	n/a	n/a
sub-104	n/a	n/a	n/a	n/a	n/a	n/a
sub-105	n/a	n/a	n/a	n/a	n/a	n/a
sub-106	29	8	n/a	n/a	n/a	n/a
sub-107	n/a	n/a	n/a	n/a	n/a	n/a
sub-108	n/a	n/a	n/a	n/a	n/a	n/a
sub-109	n/a	n/a	n/a	n/a	n/a	n/a
sub-110	n/a	n/a	n/a	n/a	n/a	n/a
sub-111	n/a	n/a	n/a	n/a	n/a	n/a
sub-112	n/a	n/a	n/a	n/a	n/a	n/a
sub-113	n/a	n/a	n/a	n/a	n/a	n/a
sub-114	n/a	n/a	n/a	n/a	n/a	n/a
sub-115	n/a	n/a	n/a	n/a	n/a	n/a
sub-116	n/a	n/a	n/a	n/a	n/a	n/a
sub-117	43	12	n/a	n/a	n/a	n/a
sub-118	n/a	n/a	n/a	n/a	n/a	n/a
sub-119	41	12	n/a	n/a	n/a	n/a
sub-120	30	8	n/a	n/a	n/a	n/a
sub-121	n/a	n/a	n/a	n/a	n/a	n/a
sub-122	n/a	n/a	n/a	n/a	n/a	n/a
sub-123	n/a	n/a	n/a	n/a	n/a	n/a
sub-124	n/a	n/a	n/a	n/a	n/a	n/a
sub-125	n/a	n/a	n/a	n/a	n/a	n/a
sub-126	n/a	n/a	n/a	n/a	n/a	n/a
sub-127	n/a	n/a	n/a	n/a	n/a	n/a
sub-128	n/a	n/a	n/a	n/a	n/a	n/a
sub-129	n/a	n/a	n/a	n/a	n/a	n/a
sub-130	n/a	n/a	n/a	n/a	n/a	n/a
sub-131	n/a	n/a	n/a	n/a	n/a	n/a
sub-132	n/a	n/a	n/a	n/a	n/a	n/a
