onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.809999999999995	EFalse	1.0	1.9	6 - 5 =	2
4.809999999999995	4.008000000000003	Etrue	1.0	0.633	7 - 6 =	1
8.817999999999998	3.0060000000000002	control	1.0	0.491	n/a	/BLUEbox.bmp
11.823999999999998	4.008000000000003	HTrue	1.0	0.551	8 - 3 =	5
15.832	4.008999999999993	Hfalse	1.0	0.519	8 - 3 =	4
19.840999999999994	4.008000000000003	HTrue	1.0	0.38	6 - 2 =	4
23.848999999999997	4.008000000000003	Etrue	1.0	0.412	7 - 6 =	1
27.857	3.0060000000000002	control	1.0	0.509	n/a	/BLUEbox.bmp
30.863	4.009	Etrue	1.0	0.879	4 - 3 =	1
34.872	4.8089999999999975	HTrue	1.0	0.664	8 - 3 =	5
39.681	3.007000000000005	control	1.0	0.57	n/a	/BLUEbox.bmp
42.688	3.205999999999989	control	1.0	0.459	n/a	/BLUEbox.bmp
45.89399999999999	4.00800000000001	HTrue	1.0	1.065	8 - 2 =	6
49.902	4.009	EFalse	1.0	0.976	5 - 4 =	2
53.911	4.8089999999999975	Hfalse	1.0	2.534	9 - 3 =	5
58.72	4.810000000000002	Etrue	1.0	0.984	9 - 8 =	1
63.53	3.4069999999999965	control	0.0	n/a	n/a	/BLUEbox.bmp
66.937	4.009	Etrue	1.0	0.481	3 - 2 =	1
70.946	4.409000000000006	Etrue	1.0	0.919	8 - 5 =	3
75.355	4.007999999999996	EFalse	1.0	1.251	7 - 6 =	3
79.363	3.4069999999999965	control	1.0	0.53	n/a	/BLUEbox.bmp
82.77	4.007999999999996	HTrue	0.0	0.978	9 - 3 =	6
86.77799999999999	3.8079999999999927	control	0.0	n/a	n/a	/BLUEbox.bmp
90.58599999999998	4.40900000000002	HTrue	0.0	1.288	9 - 4 =	5
94.995	4.810000000000002	EFalse	1.0	0.786	6 - 4 =	1
99.805	4.408999999999992	Hfalse	1.0	1.838	6 - 2 =	5
104.214	4.408999999999992	HTrue	1.0	0.991	9 - 7 =	2
108.62299999999999	4.40900000000002	HTrue	1.0	1.231	9 - 3 =	6
113.03200000000001	4.809999999999974	Hfalse	0.0	0.911	9 - 2 =	8
117.84199999999998	4.40900000000002	HTrue	1.0	0.912	9 - 6 =	3
122.251	4.408999999999992	Etrue	1.0	0.839	5 - 3 =	2
126.66	4.810000000000002	HTrue	1.0	0.907	7 - 3 =	4
131.47	3.8079999999999927	control	1.0	0.706	n/a	/BLUEbox.bmp
135.278	3.8070000000000164	control	1.0	0.53	n/a	/BLUEbox.bmp
139.085	4.408999999999992	Etrue	1.0	0.572	6 - 4 =	2
143.494	4.810000000000002	Etrue	1.0	0.435	5 - 4 =	1
148.304	3.4069999999999823	control	1.0	0.467	n/a	/BLUEbox.bmp
151.71099999999998	4.40900000000002	Hfalse	1.0	1.262	9 - 6 =	5
156.12	3.4069999999999823	control	0.0	n/a	n/a	/BLUEbox.bmp
159.527	4.810000000000002	Etrue	1.0	0.794	7 - 5 =	2
164.337	4.610000000000014	Hfalse	1.0	1.359	7 - 4 =	2
168.947	4.810000000000002	HTrue	1.0	0.604	8 - 6 =	2
173.757	4.408999999999992	EFalse	1.0	1.312	7 - 5 =	1
178.166	4.408999999999992	EFalse	1.0	0.603	9 - 8 =	3
182.575	4.810000000000002	HTrue	1.0	1.017	7 - 3 =	4
187.385	4.40900000000002	Etrue	1.0	0.467	9 - 8 =	1
191.794	3.806999999999988	control	1.0	0.422	n/a	/BLUEbox.bmp
195.601	4.804000000000002	Etrue	1.0	0.873	7 - 5 =	2
200.405	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
