onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.809999999999999	EFalse	0.0	2.448	6 - 5 =	2
4.809999999999999	4.008000000000003	Etrue	1.0	0.893	7 - 6 =	1
8.818000000000001	3.0060000000000002	control	1.0	0.645	n/a	/BLUEbox.bmp
11.824000000000002	4.007999999999996	HTrue	1.0	1.063	8 - 3 =	5
15.831999999999997	4.009	Hfalse	1.0	1.159	8 - 3 =	4
19.840999999999998	4.008000000000003	HTrue	1.0	1.246	6 - 2 =	4
23.849	4.007999999999996	Etrue	1.0	1.189	7 - 6 =	1
27.856999999999996	3.0060000000000002	control	1.0	0.646	n/a	/BLUEbox.bmp
30.862999999999996	4.007999999999999	Etrue	1.0	0.793	4 - 3 =	1
34.870999999999995	4.810000000000002	HTrue	1.0	1.034	8 - 3 =	5
39.681	3.006999999999991	control	1.0	0.63	n/a	/BLUEbox.bmp
42.68799999999999	3.206000000000003	control	1.0	0.718	n/a	/BLUEbox.bmp
45.89399999999999	4.00800000000001	HTrue	1.0	0.953	8 - 2 =	6
49.902	4.009	EFalse	1.0	1.602	5 - 4 =	2
53.911	4.809999999999988	Hfalse	1.0	1.096	9 - 3 =	5
58.72099999999999	4.809000000000012	Etrue	1.0	1.115	9 - 8 =	1
63.53	3.407999999999987	control	0.0	n/a	n/a	/BLUEbox.bmp
66.93799999999999	4.00800000000001	Etrue	1.0	0.588	3 - 2 =	1
70.946	4.408999999999992	Etrue	1.0	0.995	8 - 5 =	3
75.35499999999999	4.00800000000001	EFalse	1.0	1.352	7 - 6 =	3
79.363	3.4069999999999965	control	0.0	n/a	n/a	/BLUEbox.bmp
82.77	4.007999999999996	HTrue	1.0	0.916	9 - 3 =	6
86.77799999999999	3.808000000000007	control	0.0	n/a	n/a	/BLUEbox.bmp
90.586	4.408999999999992	HTrue	1.0	1.186	9 - 4 =	5
94.99499999999999	4.810000000000002	EFalse	1.0	1.119	6 - 4 =	1
99.80499999999999	4.408999999999992	Hfalse	1.0	2.053	6 - 2 =	5
104.21399999999998	4.40900000000002	HTrue	1.0	1.205	9 - 7 =	2
108.623	4.408999999999992	HTrue	1.0	2.009	9 - 3 =	6
113.032	4.810000000000002	Hfalse	0.0	1.701	9 - 2 =	8
117.842	4.408999999999992	HTrue	1.0	1.123	9 - 6 =	3
122.25099999999999	4.409999999999997	Etrue	1.0	1.178	5 - 3 =	2
126.66099999999999	4.809000000000012	HTrue	1.0	1.14	7 - 3 =	4
131.47	3.808000000000021	control	1.0	0.76	n/a	/BLUEbox.bmp
135.27800000000002	3.8079999999999927	control	0.0	n/a	n/a	/BLUEbox.bmp
139.086	4.408999999999992	Etrue	1.0	0.969	6 - 4 =	2
143.495	4.810000000000002	Etrue	1.0	1.094	5 - 4 =	1
148.305	3.4070000000000107	control	0.0	n/a	n/a	/BLUEbox.bmp
151.71200000000002	4.408999999999992	Hfalse	1.0	2.412	9 - 6 =	5
156.121	3.4070000000000107	control	1.0	0.748	n/a	/BLUEbox.bmp
159.52800000000002	4.810000000000002	Etrue	1.0	0.671	7 - 5 =	2
164.33800000000002	4.609999999999985	Hfalse	1.0	1.156	7 - 4 =	2
168.948	4.810000000000002	HTrue	1.0	1.236	8 - 6 =	2
173.758	4.408999999999992	EFalse	1.0	1.586	7 - 5 =	1
178.167	4.40900000000002	EFalse	1.0	1.203	9 - 8 =	3
182.57600000000002	4.809999999999974	HTrue	1.0	1.096	7 - 3 =	4
187.386	4.40900000000002	Etrue	1.0	0.868	9 - 8 =	1
191.79500000000002	3.8079999999999927	control	1.0	0.59	n/a	/BLUEbox.bmp
195.603	4.802999999999997	Etrue	1.0	1.239	7 - 5 =	2
200.406	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
