onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.007999999999999	Etrue	1.0	0.41	2 x 3 =	6
4.007999999999999	4.007999999999999	Etrue	1.0	0.327	4 x 3 =	12
8.015999999999998	4.007999999999999	Etrue	1.0	0.366	3 x 4 =	12
12.023999999999997	4.009	Htrue	1.0	0.423	6 x 7 =	42
16.032999999999998	3.0060000000000002	control	1.0	0.468	n/a	/BLUEbox.bmp
19.038999999999998	4.810000000000002	Hfalse	1.0	0.744	8 x 9 =	63
23.849	4.008000000000003	Htrue	1.0	0.588	9 x 8 =	72
27.857000000000003	4.007999999999996	Htrue	1.0	0.593	6 x 9 =	54
31.865	3.2070000000000043	control	1.0	1.003	n/a	/BLUEbox.bmp
35.072	4.007999999999996	Etrue	1.0	0.606	3 x 5 =	15
39.08	4.007999999999996	Efalse	1.0	0.762	3 x 2 =	8
43.087999999999994	3.808000000000007	control	1.0	0.461	n/a	/BLUEbox.bmp
46.896	4.810000000000002	Htrue	1.0	0.498	8 x 6 =	48
51.706	4.809999999999988	Htrue	0.0	0.742	8 x 9 =	72
56.51599999999999	4.810000000000002	Efalse	1.0	0.744	3 x 4 =	8
61.32599999999999	3.0060000000000002	control	1.0	0.698	n/a	/BLUEbox.bmp
64.332	3.808000000000007	control	1.0	0.465	n/a	/BLUEbox.bmp
68.14	4.007999999999996	Htrue	1.0	0.803	6 x 7 =	42
72.148	4.007999999999996	Efalse	0.0	0.574	5 x 4 =	16
76.15599999999999	3.0060000000000002	control	1.0	0.644	n/a	/BLUEbox.bmp
79.16199999999999	3.808000000000007	Htrue	1.0	0.747	7 x 8 =	56
82.97	4.408999999999992	Etrue	1.0	0.385	5 x 3 =	15
87.37899999999999	4.810000000000002	Etrue	1.0	0.495	2 x 3 =	6
92.189	4.409000000000006	Etrue	1.0	0.684	5 x 3 =	15
96.598	4.009	Hfalse	1.0	0.537	9 x 6 =	48
100.607	4.408999999999992	Etrue	1.0	0.384	2 x 5 =	10
105.01599999999999	3.4070000000000107	control	1.0	0.469	n/a	/BLUEbox.bmp
108.423	4.408999999999992	Etrue	1.0	0.352	4 x 5 =	20
112.832	3.4070000000000107	control	1.0	0.546	n/a	/BLUEbox.bmp
116.239	3.4069999999999823	control	1.0	0.511	n/a	/BLUEbox.bmp
119.64599999999999	4.40900000000002	Efalse	1.0	0.693	3 x 5 =	10
124.055	4.408999999999992	Hfalse	1.0	0.734	9 x 8 =	64
128.464	3.4070000000000107	control	1.0	0.717	n/a	/BLUEbox.bmp
131.871	4.408999999999992	Htrue	1.0	0.707	7 x 9 =	63
136.28	4.810000000000002	Htrue	0.0	0.699	7 x 8 =	56
141.09	4.6089999999999804	Hfalse	1.0	0.653	6 x 9 =	45
145.69899999999998	4.40900000000002	Htrue	0.0	0.892	6 x 8 =	48
150.108	4.408999999999992	Hfalse	0.0	0.574	8 x 7 =	63
154.517	3.8079999999999927	control	1.0	0.738	n/a	/BLUEbox.bmp
158.325	4.810000000000002	Etrue	1.0	0.411	2 x 4 =	8
163.135	4.810000000000002	Etrue	1.0	0.416	4 x 3 =	12
167.945	4.810000000000002	Hfalse	1.0	0.676	9 x 7 =	56
172.755	4.810000000000002	Efalse	1.0	0.858	5 x 3 =	12
177.565	4.408999999999992	Efalse	1.0	0.532	5 x 2 =	12
181.974	4.810000000000002	Etrue	1.0	0.357	4 x 2 =	8
186.784	3.8079999999999927	control	1.0	0.457	n/a	/BLUEbox.bmp
190.59199999999998	4.40900000000002	Htrue	1.0	0.808	8 x 7 =	56
195.001	4.402999999999992	Htrue	1.0	0.64	6 x 8 =	48
199.404	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
