onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	3.9980000000000047	2.0	0.0	0.866	post	cost
3.9980000000000047	2.9979999999999976	5.0	1.0	0.682	n/a	/BLUEbox.bmp
6.996000000000002	4.398000000000003	6.0	1.0	1.229	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.394000000000005	3.9979999999999976	3.0	1.0	1.25	rum	numb
15.392000000000003	3.7989999999999995	5.0	1.0	0.584	n/a	/BLUEbox.bmp
19.191000000000003	3.9979999999999976	6.0	1.0	1.156	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.189	3.9980000000000047	1.0	1.0	0.713	fought	sought
27.187000000000005	3.9979999999999976	1.0	1.0	0.8	scheme	theme
31.185000000000002	3.9980000000000047	6.0	1.0	1.365	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.18300000000001	4.397999999999996	1.0	1.0	1.13	stool	fool
39.581	3.399000000000001	5.0	1.0	0.506	n/a	/BLUEbox.bmp
42.980000000000004	4.397000000000006	1.0	1.0	0.877	soak	oak
47.37700000000001	4.397999999999996	2.0	1.0	1.168	threat	wheat
51.775000000000006	3.9989999999999952	1.0	1.0	0.9	thread	spread
55.774	4.397000000000006	3.0	1.0	1.076	pile	trial
60.17100000000001	4.798000000000002	4.0	1.0	1.104	swap	watch
64.96900000000001	3.7979999999999876	5.0	1.0	0.541	n/a	/BLUEbox.bmp
68.767	3.399000000000001	5.0	1.0	0.559	n/a	/BLUEbox.bmp
72.166	4.39800000000001	4.0	1.0	1.405	tough	dull
76.56400000000001	4.798000000000002	6.0	1.0	1.431	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.36200000000001	4.796999999999997	1.0	1.0	1.088	sweep	creep
86.159	4.798000000000002	6.0	1.0	1.353	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
90.95700000000001	3.399000000000001	5.0	1.0	0.679	n/a	/BLUEbox.bmp
94.35600000000001	3.397999999999996	3.0	1.0	0.666	stroke	soak
97.754	4.397999999999996	4.0	1.0	1.144	trial	fall
102.152	4.798000000000002	6.0	1.0	1.24	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
