onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.809999999999995	EFalse	0.0	1.176	6 - 5 =	2
4.809999999999995	4.008000000000003	Etrue	1.0	1.036	7 - 6 =	1
8.817999999999998	3.0060000000000002	control	1.0	0.378	n/a	/BLUEbox.bmp
11.823999999999998	4.007999999999996	HTrue	1.0	1.796	8 - 3 =	5
15.831999999999994	4.009	Hfalse	1.0	1.581	8 - 3 =	4
19.840999999999994	4.00800000000001	HTrue	1.0	2.518	6 - 2 =	4
23.849000000000004	4.007999999999996	Etrue	1.0	1.055	7 - 6 =	1
27.857	3.0060000000000002	control	1.0	0.411	n/a	/BLUEbox.bmp
30.863	4.009	Etrue	1.0	1.126	4 - 3 =	1
34.872	4.8089999999999975	HTrue	1.0	1.358	8 - 3 =	5
39.681	3.007000000000005	control	1.0	0.626	n/a	/BLUEbox.bmp
42.688	3.205999999999989	control	0.0	n/a	n/a	/BLUEbox.bmp
45.89399999999999	4.00800000000001	HTrue	0.0	1.467	8 - 2 =	6
49.902	4.009	EFalse	1.0	1.61	5 - 4 =	2
53.911	4.810000000000002	Hfalse	0.0	1.499	9 - 3 =	5
58.721000000000004	4.8089999999999975	Etrue	1.0	1.154	9 - 8 =	1
63.53	3.4069999999999965	control	1.0	0.511	n/a	/BLUEbox.bmp
66.937	4.009	Etrue	1.0	1.189	3 - 2 =	1
70.946	4.409000000000006	Etrue	1.0	1.63	8 - 5 =	3
75.355	4.007999999999996	EFalse	0.0	1.967	7 - 6 =	3
79.363	3.4069999999999965	control	1.0	0.69	n/a	/BLUEbox.bmp
82.77	4.00800000000001	HTrue	0.0	n/a	9 - 3 =	6
86.778	3.8079999999999927	control	1.0	0.694	n/a	/BLUEbox.bmp
90.586	4.408999999999992	HTrue	1.0	1.005	9 - 4 =	5
94.99499999999999	4.810000000000002	EFalse	1.0	1.371	6 - 4 =	1
99.80499999999999	4.408999999999992	Hfalse	0.0	2.009	6 - 2 =	5
104.21399999999998	4.40900000000002	HTrue	1.0	1.599	9 - 7 =	2
108.623	4.408999999999992	HTrue	0.0	1.765	9 - 3 =	6
113.032	4.810000000000002	Hfalse	0.0	1.91	9 - 2 =	8
117.842	4.408999999999992	HTrue	0.0	2.526	9 - 6 =	3
122.25099999999999	4.40900000000002	Etrue	1.0	1.54	5 - 3 =	2
126.66000000000001	4.80999999999996	HTrue	1.0	1.876	7 - 3 =	4
131.46999999999997	3.8080000000000496	control	1.0	0.676	n/a	/BLUEbox.bmp
135.27800000000002	3.8079999999999927	control	0.0	n/a	n/a	/BLUEbox.bmp
139.086	4.408999999999992	Etrue	1.0	1.477	6 - 4 =	2
143.495	4.810000000000002	Etrue	1.0	0.967	5 - 4 =	1
148.305	3.4069999999999823	control	1.0	0.542	n/a	/BLUEbox.bmp
151.712	4.408999999999992	Hfalse	0.0	0.82	9 - 6 =	5
156.12099999999998	3.407000000000039	control	1.0	0.723	n/a	/BLUEbox.bmp
159.52800000000002	4.810000000000002	Etrue	1.0	1.401	7 - 5 =	2
164.33800000000002	4.6089999999999804	Hfalse	0.0	0.684	7 - 4 =	2
168.947	4.810000000000002	HTrue	1.0	1.715	8 - 6 =	2
173.757	4.408999999999992	EFalse	1.0	0.668	7 - 5 =	1
178.166	4.408999999999992	EFalse	0.0	1.266	9 - 8 =	3
182.575	4.810000000000002	HTrue	1.0	1.172	7 - 3 =	4
187.385	4.408999999999992	Etrue	1.0	1.178	9 - 8 =	1
191.79399999999998	3.8079999999999927	control	0.0	n/a	n/a	/BLUEbox.bmp
195.60199999999998	4.8040000000000305	Etrue	1.0	1.106	7 - 5 =	2
200.406	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
