onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	3.9979999999999976	2.0	1.0	2.38	post	cost
3.9979999999999976	2.9990000000000023	5.0	1.0	0.532	n/a	/BLUEbox.bmp
6.997	4.397999999999996	6.0	1.0	1.351	task-Rhyming/perceptual_o.bmp	task-Rhyming/perceptual_p.bmp
11.394999999999996	3.9990000000000094	3.0	1.0	1.395	rum	numb
15.394000000000005	3.7979999999999876	5.0	1.0	0.514	n/a	/BLUEbox.bmp
19.191999999999993	3.9990000000000094	6.0	1.0	1.125	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_u.bmp
23.191000000000003	3.9979999999999905	1.0	1.0	1.185	fought	sought
27.188999999999993	3.9990000000000094	1.0	1.0	1.272	scheme	theme
31.188000000000002	3.9979999999999905	6.0	1.0	1.076	task-Rhyming/perceptual_m.bmp	task-Rhyming/perceptual_n.bmp
35.18599999999999	4.399000000000001	1.0	1.0	1.266	stool	fool
39.584999999999994	3.3980000000000103	5.0	1.0	0.6	n/a	/BLUEbox.bmp
42.983000000000004	4.399000000000001	1.0	1.0	1.467	soak	oak
47.382000000000005	4.397999999999996	2.0	1.0	1.208	threat	wheat
51.78	3.9979999999999905	1.0	1.0	1.24	thread	spread
55.77799999999999	4.399000000000001	3.0	1.0	2.04	pile	trial
60.17699999999999	4.798000000000002	4.0	1.0	1.201	swap	watch
64.975	3.798000000000002	5.0	1.0	0.649	n/a	/BLUEbox.bmp
68.773	3.399000000000001	5.0	1.0	0.503	n/a	/BLUEbox.bmp
72.172	4.397999999999996	4.0	1.0	1.205	tough	dull
76.57	4.798000000000002	6.0	1.0	1.452	task-Rhyming/perceptual_w.bmp	task-Rhyming/perceptual_e.bmp
81.368	4.799000000000007	1.0	1.0	1.03	sweep	creep
86.167	4.798000000000002	6.0	1.0	1.256	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_t.bmp
90.965	3.397999999999996	5.0	1.0	0.596	n/a	/BLUEbox.bmp
94.363	3.399000000000001	3.0	1.0	0.428	stroke	soak
97.762	4.397999999999996	4.0	1.0	2.235	trial	fall
102.16	4.799000000000007	6.0	1.0	1.448	task-Rhyming/perceptual_k.bmp	task-Rhyming/perceptual_l.bmp
106.959	2.9979999999999905	5.0	1.0	0.596	n/a	/BLUEbox.bmp
109.957	3.399000000000001	5.0	1.0	0.436	n/a	/BLUEbox.bmp
113.356	3.399000000000001	5.0	1.0	0.436	n/a	/BLUEbox.bmp
116.755	3.399000000000001	5.0	1.0	0.373	n/a	/BLUEbox.bmp
120.154	3.9979999999999905	1.0	1.0	1.568	beef	reef
124.15199999999999	2.9990000000000236	5.0	1.0	0.498	n/a	/BLUEbox.bmp
127.15100000000001	4.798000000000002	2.0	0.0	1.733	wart	smart
131.949	4.797999999999973	2.0	0.0	1.402	dose	pose
