participant_id	KeyMath_Numeration_Raw	KeyMath_Numeration_ScS	KeyMath_Measurement_Raw	KeyMath_Measurement_ScS	KeyMath_ProblemSolving_Raw	KeyMath_ProblemSolving_ScS
sub-001	24	13	29	15	19	15
sub-002	27	14	26	14	22	17
sub-003	28	10	23	9	21	12
sub-004	23	11	24	12	20	13
sub-005	41	14	35	14	25	14
sub-006	21	12	19	15	15	13
sub-007	41	17	32	15	24	16
sub-008	47	16	38	16	25	14
sub-009	21	14	18	13	16	15
sub-010	42	16	32	15	23	15
sub-011	33	18	30	17	18	15
sub-012	45	15	30	11	23	12
sub-013	47	16	36	13	26	14
sub-014	38	14	33	13	18	9
sub-015	25	8	19	7	14	7
sub-016	36	11	32	12	25	14
sub-017	28	13	31	16	21	15
sub-018	28	10	22	9	20	10
sub-019	42	16	31	14	24	15
sub-020	23	9	26	9	19	11
sub-021	22	11	23	12	17	13
sub-022	39	12	29	10	25	14
sub-023	43	16	34	14	24	15
sub-024	22	10	25	12	23	16
sub-025	44	16	33	13	26	17
sub-026	27	11	27	12	21	13
sub-027	26	12	29	14	21	14
sub-028	16	5	16	6	12	6
sub-029	18	9	10	6	8	6
sub-030	31	11	25	10	22	12
sub-031	39	14	34	14	25	16
sub-032	27	14	30	16	18	14
sub-033	38	14	32	14	25	16
sub-034	28	13	22	12	21	15
sub-035	26	10	24	11	21	12
sub-036	25	12	22	12	20	14
sub-037	27	8	24	9	16	7
sub-038	49	19	39	16	27	19
sub-039	19	5	16	5	21	9
sub-040	29	9	25	9	20	9
sub-041	21	12	24	14	19	15
sub-042	22	10	22	11	19	13
sub-043	41	12	36	13	22	10
sub-044	38	13	34	14	21	11
sub-045	25	11	26	13	17	12
sub-046	27	9	18	7	16	8
sub-047	38	15	32	15	23	15
sub-048	43	17	33	15	23	15
sub-049	44	17	37	17	25	16
sub-050	24	13	21	12	18	14
sub-051	24	9	13	5	13	7
sub-052	14	4	12	4	18	8
sub-053	36	11	30	11	21	10
sub-054	42	12	33	11	20	8
sub-055	15	5	10	4	15	8
sub-056	20	9	21	10	17	11
sub-057	19	9	12	7	12	9
sub-058	39	16	35	17	21	14
sub-059	26	8	31	11	21	9
sub-060	26	11	30	14	23	15
sub-061	42	16	36	16	24	14
sub-062	44	14	37	15	24	12
sub-063	23	9	29	13	22	13
sub-064	23	12	35	18	22	17
sub-065	23	11	18	9	11	8
sub-066	14	7	12	8	8	7
sub-067	27	8	20	6	22	10
sub-068	34	11	26	9	22	11
sub-069	22	6	24	8	20	8
sub-070	36	11	23	8	22	11
sub-071	19	12	15	10	16	14
sub-072	18	5	10	3	11	5
sub-073	18	9	14	8	16	12
sub-074	16	5	17	6	14	7
sub-075	26	8	21	7	20	8
sub-076	16	6	12	6	10	7
sub-077	12	6	6	5	9	8
sub-078	15	5	17	7	14	7
sub-079	26	8	24	8	18	8
sub-080	14	6	15	9	10	8
sub-081	n/a	n/a	n/a	n/a	n/a	n/a
sub-082	16	5	17	7	18	9
sub-083	19	8	17	10	14	12
sub-084	19	8	18	9	19	13
sub-085	16	7	16	8	6	5
sub-086	22	7	20	7	22	11
sub-087	19	6	21	7	19	9
sub-088	15	7	12	7	10	7
sub-089	19	8	16	8	17	11
sub-090	26	8	18	6	20	9
sub-091	27	8	19	6	23	11
sub-092	19	8	16	7	18	11
sub-093	24	11	31	15	24	17
sub-094	16	5	13	5	14	7
sub-095	14	7	7	5	6	5
sub-096	30	11	15	6	20	11
sub-097	18	7	20	9	16	9
sub-098	11	5	8	5	12	9
sub-099	18	8	16	9	11	8
sub-100	15	7	17	9	14	10
sub-101	17	6	17	7	12	6
sub-102	16	6	21	10	15	9
sub-103	13	6	16	8	10	7
sub-104	18	6	13	5	14	7
sub-105	15	5	12	5	8	5
sub-106	30	9	38	10	16	7
sub-107	19	8	16	7	14	9
sub-108	15	6	11	5	6	4
sub-109	14	4	13	5	10	5
sub-110	15	6	9	5	13	8
sub-111	18	9	19	10	13	10
sub-112	34	13	27	11	24	15
sub-113	20	7	20	8	14	8
sub-114	20	7	16	6	12	6
sub-115	35	10	20	6	19	8
sub-116	16	5	14	6	6	3
sub-117	34	10	21	7	24	12
sub-118	37	11	31	10	21	9
sub-119	31	11	21	8	17	9
sub-120	20	6	25	9	13	6
sub-121	19	8	17	8	10	6
sub-122	12	6	12	8	14	12
sub-123	37	12	35	14	25	14
sub-124	20	10	18	10	11	8
sub-125	15	7	13	7	9	7
sub-126	37	15	23	11	11	7
sub-127	46	15	37	14	24	12
sub-128	19	12	24	15	19	16
sub-129	36	10	30	10	19	8
sub-130	20	7	15	6	19	10
sub-131	10	4	15	7	20	12
sub-132	25	8	20	7	21	10
