onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.009	Etrue	0.0	1.818	5 - 2 =	3
4.009	4.408999999999999	EFalse	1.0	1.595	8 - 5 =	2
8.418	3.0060000000000002	control	0.0	0.926	n/a	/BLUEbox.bmp
11.424	4.007999999999996	HTrue	0.0	1.58	9 - 7 =	2
15.431999999999995	4.008000000000003	Etrue	1.0	1.571	8 - 5 =	3
19.439999999999998	3.0060000000000002	control	1.0	0.738	n/a	/BLUEbox.bmp
22.445999999999998	4.009	Etrue	0.0	1.763	5 - 2 =	3
26.455	4.007999999999996	Hfalse	1.0	1.532	8 - 2 =	7
30.462999999999994	4.00800000000001	EFalse	0.0	1.409	5 - 2 =	2
34.471000000000004	3.0060000000000002	control	0.0	1.028	n/a	/BLUEbox.bmp
37.477000000000004	4.809999999999988	EFalse	1.0	1.293	8 - 7 =	3
42.28699999999999	3.0060000000000002	control	0.0	0.686	n/a	/BLUEbox.bmp
45.29299999999999	4.810000000000002	HTrue	1.0	2.112	7 - 2 =	5
50.102999999999994	4.810000000000002	Hfalse	0.0	2.629	7 - 2 =	6
54.913	4.810000000000002	HTrue	0.0	n/a	8 - 2 =	6
59.723	4.209000000000003	HTrue	1.0	2.276	9 - 2 =	7
63.932	3.4069999999999965	control	1.0	0.605	n/a	/BLUEbox.bmp
67.339	4.007999999999996	Etrue	1.0	1.567	6 - 5 =	1
71.347	4.409000000000006	Etrue	0.0	n/a	6 - 4 =	2
75.756	3.8079999999999927	control	0.0	1.403	n/a	/BLUEbox.bmp
79.564	4.00800000000001	EFalse	0.0	1.715	5 - 3 =	1
83.572	4.007999999999996	HTrue	0.0	1.656	7 - 4 =	3
87.58	3.4069999999999965	control	0.0	n/a	n/a	/BLUEbox.bmp
90.987	4.209000000000003	HTrue	1.0	1.309	7 - 4 =	3
95.196	4.408999999999992	Etrue	0.0	1.179	6 - 5 =	1
99.60499999999999	3.808000000000021	control	0.0	n/a	n/a	/BLUEbox.bmp
103.41300000000001	4.8089999999999975	Etrue	1.0	1.404	3 - 2 =	1
108.22200000000001	4.008999999999986	Hfalse	0.0	2.084	8 - 6 =	4
112.231	4.408999999999992	Hfalse	1.0	2.488	9 - 4 =	4
116.63999999999999	4.810000000000002	Etrue	1.0	1.554	8 - 7 =	1
121.44999999999999	4.8089999999999975	HTrue	1.0	2.316	8 - 6 =	2
126.25899999999999	4.40900000000002	Etrue	1.0	1.532	5 - 3 =	2
130.668	4.409999999999997	Etrue	1.0	2.062	5 - 4 =	1
135.078	4.8089999999999975	Etrue	1.0	1.156	4 - 3 =	1
139.887	4.408999999999992	HTrue	1.0	2.32	9 - 2 =	7
144.296	4.408999999999992	Hfalse	1.0	1.623	9 - 7 =	4
148.70499999999998	4.810000000000002	Etrue	1.0	1.692	8 - 7 =	1
153.515	3.808000000000021	control	1.0	1.788	n/a	/BLUEbox.bmp
157.323	3.4069999999999823	control	1.0	0.56	n/a	/BLUEbox.bmp
160.73	3.808000000000021	control	1.0	0.626	n/a	/BLUEbox.bmp
164.538	4.408999999999992	HTrue	0.0	n/a	9 - 4 =	5
168.947	4.408999999999992	HTrue	0.0	n/a	6 - 2 =	4
173.356	4.810000000000002	EFalse	err	err	4 - 3 =	2
178.166	4.810000000000002	Hfalse	0.0	1.079	7 - 3 =	3
182.976	3.4070000000000107	control	1.0	0.921	n/a	/BLUEbox.bmp
186.383	4.809999999999974	EFalse	1.0	1.015	3 - 2 =	2
191.19299999999998	4.40900000000002	HTrue	1.0	0.948	9 - 6 =	3
195.602	4.802999999999997	HTrue	0.0	2.63	7 - 2 =	5
200.405	22.00800000000001	n/a	n/a	n/a	n/a	/REDbox.bmp
