onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	3.9979999999999976	Etrue	1.0	1.101	5 - 2 =	3
3.9979999999999976	4.398000000000003	EFalse	0.0	1.109	8 - 5 =	2
8.396	2.198999999999998	control	1.0	0.71	n/a	/BLUEbox.bmp
10.594999999999999	3.9980000000000047	HTrue	1.0	1.041	9 - 7 =	2
14.593000000000004	3.9979999999999976	Etrue	1.0	1.058	8 - 5 =	3
18.591	2.198999999999998	control	1.0	0.632	n/a	/BLUEbox.bmp
20.79	3.9980000000000047	Etrue	1.0	0.999	5 - 2 =	3
24.788000000000004	3.9979999999999976	Hfalse	0.0	1.171	8 - 2 =	7
28.786	3.9990000000000023	EFalse	0.0	1.086	5 - 2 =	2
32.785000000000004	2.198999999999998	control	1.0	0.828	n/a	/BLUEbox.bmp
34.984	4.796999999999997	EFalse	0.0	0.963	8 - 7 =	3
39.781	2.198999999999998	control	1.0	0.759	n/a	/BLUEbox.bmp
41.98	4.798000000000002	HTrue	1.0	1.107	7 - 2 =	5
46.778	4.798000000000002	Hfalse	0.0	1.082	7 - 2 =	6
51.576	4.798000000000002	HTrue	1.0	1.088	8 - 2 =	6
56.374	4.197999999999993	HTrue	1.0	1.063	9 - 2 =	7
60.571999999999996	2.5990000000000038	control	1.0	0.913	n/a	/BLUEbox.bmp
63.171	3.9980000000000118	Etrue	1.0	1.129	6 - 5 =	1
67.16900000000001	4.397999999999996	Etrue	1.0	1.044	6 - 4 =	2
71.56700000000001	2.9979999999999905	control	1.0	0.627	n/a	/BLUEbox.bmp
74.565	3.9979999999999905	EFalse	0.0	1.097	5 - 3 =	1
78.56299999999999	3.9990000000000236	HTrue	1.0	0.977	7 - 4 =	3
82.56200000000001	2.5979999999999848	control	1.0	0.827	n/a	/BLUEbox.bmp
85.16	4.1980000000000075	HTrue	1.0	0.971	7 - 4 =	3
89.358	4.397999999999996	Etrue	1.0	1.128	6 - 5 =	1
93.756	2.9989999999999952	control	1.0	0.685	n/a	/BLUEbox.bmp
96.755	4.798000000000002	Etrue	1.0	1.05	3 - 2 =	1
101.553	3.998000000000019	Hfalse	0.0	0.97	8 - 6 =	4
105.55100000000002	4.397999999999996	Hfalse	0.0	1.12	9 - 4 =	4
109.94900000000001	4.798000000000002	Etrue	1.0	0.996	8 - 7 =	1
114.74700000000001	4.796999999999997	HTrue	1.0	1.174	8 - 6 =	2
119.54400000000001	4.397999999999996	Etrue	1.0	1.405	5 - 3 =	2
123.94200000000001	4.397999999999996	Etrue	1.0	1.038	5 - 4 =	1
128.34	4.798000000000002	Etrue	1.0	1.227	4 - 3 =	1
133.138	4.397999999999996	HTrue	1.0	1.102	9 - 2 =	7
137.536	4.397999999999996	Hfalse	0.0	1.228	9 - 7 =	4
141.934	4.798000000000002	Etrue	1.0	1.005	8 - 7 =	1
146.732	2.998000000000019	control	1.0	0.679	n/a	/BLUEbox.bmp
149.73000000000002	2.5989999999999895	control	err	err	n/a	/BLUEbox.bmp
152.329	2.9989999999999952	control	err	err	n/a	/BLUEbox.bmp
155.328	4.397999999999996	HTrue	1.0	1.084	9 - 4 =	5
159.726	4.397999999999996	HTrue	1.0	1.121	6 - 2 =	4
164.124	4.798000000000002	EFalse	0.0	0.964	4 - 3 =	2
168.922	4.796999999999997	Hfalse	0.0	1.214	7 - 3 =	3
173.719	2.599000000000018	control	1.0	0.798	n/a	/BLUEbox.bmp
176.318	4.798000000000002	EFalse	0.0	1.032	3 - 2 =	2
181.116	4.397999999999996	HTrue	1.0	1.114	9 - 6 =	3
185.514	4.799000000000007	HTrue	1.0	1.101	7 - 2 =	5
190.31300000000002	22.0	n/a	n/a	n/a	n/a	/REDbox.bmp
