onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
0.0	4.008000000000003	Etrue	1.0	1.119	3 x 5 =	15
4.008000000000003	4.409999999999997	Hfalse	1.0	1.025	7 x 6 =	48
8.418	4.008000000000003	Efalse	1.0	1.189	2 x 3 =	9
12.426000000000002	4.408999999999999	Etrue	1.0	0.627	3 x 2 =	6
16.835	4.008000000000003	Htrue	1.0	0.638	7 x 6 =	42
20.843000000000004	3.0060000000000002	control	1.0	0.495	n/a	/BLUEbox.bmp
23.849000000000004	3.005999999999993	control	1.0	0.397	n/a	/BLUEbox.bmp
26.854999999999997	4.009	Hfalse	1.0	1.027	6 x 8 =	56
30.863999999999997	3.0060000000000002	control	1.0	0.492	n/a	/BLUEbox.bmp
33.87	4.810000000000002	Htrue	1.0	1.328	9 x 7 =	63
38.68	3.808000000000007	control	1.0	0.456	n/a	/BLUEbox.bmp
42.48800000000001	4.408999999999992	Etrue	1.0	1.01	5 x 2 =	10
46.897	4.007999999999996	Efalse	1.0	1.027	2 x 5 =	15
50.904999999999994	4.00800000000001	Htrue	1.0	1.34	8 x 9 =	72
54.913000000000004	4.810000000000002	Htrue	1.0	1.268	8 x 7 =	56
59.723000000000006	4.007999999999996	Htrue	1.0	1.413	7 x 9 =	63
63.731	4.809999999999995	Htrue	1.0	0.966	9 x 6 =	54
68.541	3.8079999999999927	control	1.0	0.459	n/a	/BLUEbox.bmp
72.34899999999999	3.0060000000000002	control	1.0	0.363	n/a	/BLUEbox.bmp
75.35499999999999	4.40900000000002	Etrue	1.0	0.737	4 x 5 =	20
79.76400000000001	3.4069999999999823	control	1.0	0.428	n/a	/BLUEbox.bmp
83.17099999999999	4.0090000000000146	Htrue	1.0	0.637	8 x 6 =	48
87.18	4.408999999999992	Htrue	1.0	0.815	9 x 6 =	54
91.589	4.00800000000001	Etrue	1.0	0.494	5 x 4 =	20
95.59700000000001	4.810000000000002	Etrue	1.0	0.477	2 x 4 =	8
100.40700000000001	3.4070000000000107	control	1.0	0.533	n/a	/BLUEbox.bmp
103.81400000000002	4.809999999999974	Etrue	1.0	0.715	3 x 2 =	6
108.624	4.810000000000002	Efalse	1.0	1.012	4 x 2 =	10
113.434	3.4070000000000107	control	1.0	0.512	n/a	/BLUEbox.bmp
116.84100000000001	3.4070000000000107	control	1.0	0.448	n/a	/BLUEbox.bmp
120.24800000000002	4.408999999999992	Etrue	1.0	0.458	3 x 4 =	12
124.65700000000001	4.810000000000002	Efalse	1.0	0.905	4 x 5 =	15
129.467	3.8079999999999927	control	1.0	0.514	n/a	/BLUEbox.bmp
133.275	4.00800000000001	Hfalse	1.0	0.92	8 x 6 =	54
137.28300000000002	4.408999999999992	Htrue	1.0	0.783	9 x 7 =	63
141.692	4.408999999999992	Etrue	1.0	0.571	5 x 4 =	20
146.101	4.40900000000002	Htrue	1.0	1.491	9 x 8 =	72
150.51000000000002	4.810000000000002	Hfalse	1.0	0.966	6 x 7 =	49
155.32000000000002	4.408999999999992	Htrue	1.0	0.652	7 x 6 =	42
159.729	4.408999999999992	Efalse	1.0	1.035	4 x 3 =	9
164.138	4.408999999999992	Efalse	1.0	0.892	2 x 4 =	12
168.547	4.810000000000002	Etrue	1.0	0.659	4 x 2 =	8
173.357	4.40900000000002	Hfalse	1.0	0.902	7 x 9 =	54
177.76600000000002	4.810000000000002	Hfalse	1.0	1.143	7 x 8 =	64
182.57600000000002	3.8079999999999927	control	1.0	0.538	n/a	/BLUEbox.bmp
186.38400000000001	4.810000000000002	Etrue	1.0	0.541	5 x 2 =	10
191.19400000000002	4.810000000000002	Htrue	1.0	0.851	6 x 9 =	54
196.00400000000002	4.402999999999992	Etrue	1.0	0.705	2 x 5 =	10
200.407	22.007000000000005	n/a	n/a	n/a	n/a	/REDbox.bmp
