participant_id	WJ-III_MathFluency_Raw	WJ-III_MathFluency_StS
sub-001	115	131
sub-002	56	84
sub-003	n/a	n/a
sub-004	n/a	n/a
sub-005	134	119
sub-006	79	105
sub-007	102	111
sub-008	122	108
sub-009	101	115
sub-010	96	103
sub-011	136	138
sub-012	89	89
sub-013	110	100
sub-014	74	84
sub-015	n/a	n/a
sub-016	138	114
sub-017	n/a	n/a
sub-018	101	101
sub-019	115	112
sub-020	111	111
sub-021	n/a	n/a
sub-022	80	82
sub-023	85	94
sub-024	86	102
sub-025	n/a	n/a
sub-026	n/a	n/a
sub-027	57	81
sub-028	n/a	n/a
sub-029	65	88
sub-030	116	112
sub-031	67	81
sub-032	n/a	n/a
sub-033	n/a	n/a
sub-034	104	114
sub-035	94	101
sub-036	72	87
sub-037	n/a	n/a
sub-038	110	100
sub-039	n/a	n/a
sub-040	114	103
sub-041	n/a	n/a
sub-042	69	87
sub-043	n/a	n/a
sub-044	152	129
sub-045	63	87
sub-046	103	102
sub-047	62	82
sub-048	95	105
sub-049	84	95
sub-050	122	129
sub-051	n/a	n/a
sub-052	55	70
sub-053	95	95
sub-054	117	103
sub-055	83	95
sub-056	87	103
sub-057	89	107
sub-058	57	81
sub-059	n/a	n/a
sub-060	59	77
sub-061	90	97
sub-062	n/a	n/a
sub-063	57	n/a
sub-064	n/a	n/a
sub-065	54	76
sub-066	52	80
sub-067	53	66
sub-068	n/a	n/a
sub-069	82	83
sub-070	77	82
sub-071	43	78
sub-072	n/a	n/a
sub-073	57	82
sub-074	54	69
sub-075	82	83
sub-076	88	97
sub-077	70	92
sub-078	60	75
sub-079	100	96
sub-080	70	95
sub-081	47	69
sub-082	n/a	n/a
sub-083	56	74
sub-084	51	75
sub-085	n/a	n/a
sub-086	53	69
sub-087	n/a	n/a
sub-088	45	72
sub-089	47	74
sub-090	79	85
sub-091	111	103
sub-092	55	76
sub-093	62	86
sub-094	92	92
sub-095	41	65
sub-096	58	78
sub-097	105	109
sub-098	46	78
sub-099	88	101
sub-100	n/a	n/a
sub-101	n/a	n/a
sub-102	n/a	n/a
sub-103	61	85
sub-104	n/a	n/a
sub-105	n/a	n/a
sub-106	62	76
sub-107	n/a	n/a
sub-108	n/a	n/a
sub-109	n/a	n/a
sub-110	n/a	n/a
sub-111	n/a	n/a
sub-112	n/a	n/a
sub-113	n/a	n/a
sub-114	n/a	n/a
sub-115	n/a	n/a
sub-116	n/a	n/a
sub-117	105	101
sub-118	n/a	n/a
sub-119	76	87
sub-120	94	97
sub-121	n/a	n/a
sub-122	n/a	n/a
sub-123	n/a	n/a
sub-124	n/a	n/a
sub-125	n/a	n/a
sub-126	n/a	n/a
sub-127	n/a	n/a
sub-128	n/a	n/a
sub-129	n/a	n/a
sub-130	n/a	n/a
sub-131	n/a	n/a
sub-132	n/a	n/a
